都道府県,目的,地点数,客数
熊本県,自然,25.0,912.0
熊本県,歴史・文化,88.0,2221.0
熊本県,温泉・健康,42.0,2394.0
熊本県,スポーツ・レク,102.0,1532.0
熊本県,都市型観光,54.0,2979.0
熊本県,イベント,29.0,1064.0
大分県,自然,47.0,649.0
大分県,歴史・文化,104.0,2323.0
大分県,温泉・健康,46.0,2389.0
大分県,スポーツ・レク,82.0,1836.0
大分県,都市型観光,11.0,192.0
大分県,イベント,31.0,1062.0
宮崎県,自然,18.0,563.0
宮崎県,歴史・文化,59.0,1603.0
宮崎県,温泉・健康,26.0,582.0
宮崎県,スポーツ・レク,86.0,1322.0
宮崎県,都市型観光,10.0,270.0
宮崎県,イベント,19.0,724.0
鹿児島県,自然,38.0,478.0
鹿児島県,歴史・文化,66.0,1770.0
鹿児島県,温泉・健康,48.0,675.0
鹿児島県,スポーツ・レク,98.0,2397.0
鹿児島県,都市型観光,41.0,1228.0
鹿児島県,イベント,17.0,797.0
北海道,自然,107.0,5908.0
北海道,歴史・文化,158.0,9176.0
北海道,温泉・健康,153.0,5185.0
北海道,スポーツ・レク,280.0,7485.0
北海道,都市型観光,79.0,7329.0
北海道,イベント,172.0,13877.0
青森県,自然,47.0,1649.0
青森県,歴史・文化,59.0,1799.0
青森県,温泉・健康,44.0,872.0
青森県,スポーツ・レク,72.0,1644.0
青森県,都市型観光,52.0,4499.0
青森県,イベント,78.0,9299.0
岩手県,自然,34.0,1706.0
岩手県,歴史・文化,59.0,1070.0
岩手県,温泉・健康,77.0,1447.0
岩手県,スポーツ・レク,57.0,767.0
岩手県,都市型観光,25.0,1067.0
岩手県,イベント,58.0,2887.0
宮城県,自然,31.0,1472.0
宮城県,歴史・文化,80.0,2070.0
宮城県,温泉・健康,36.0,1231.0
宮城県,スポーツ・レク,59.0,2087.0
宮城県,都市型観光,45.0,2065.0
宮城県,イベント,52.0,5295.0
秋田県,自然,30.0,1690.0
秋田県,歴史・文化,48.0,999.0
秋田県,温泉・健康,67.0,1360.0
秋田県,スポーツ・レク,67.0,1266.0
秋田県,都市型観光,20.0,400.0
秋田県,イベント,61.0,5198.0
山形県,自然,39.0,1349.0
山形県,歴史・文化,78.0,3329.0
山形県,温泉・健康,49.0,2591.0
山形県,スポーツ・レク,68.0,1670.0
山形県,都市型観光,30.0,1185.0
山形県,イベント,45.0,3844.0
福島県,自然,49.0,1825.0
福島県,歴史・文化,78.0,2409.0
福島県,温泉・健康,49.0,1587.0
福島県,スポーツ・レク,76.0,2831.0
福島県,都市型観光,17.0,1282.0
福島県,イベント,47.0,3293.0
茨城県,自然,15.0,1616.0
茨城県,歴史・文化,51.0,2640.0
茨城県,温泉・健康,13.0,424.0
茨城県,スポーツ・レク,52.0,3034.0
茨城県,都市型観光,11.0,1944.0
茨城県,イベント,57.0,5446.0
栃木県,自然,38.0,2178.0
栃木県,歴史・文化,88.0,3856.0
栃木県,温泉・健康,30.0,1711.0
栃木県,スポーツ・レク,128.0,4060.0
栃木県,都市型観光,14.0,2804.0
栃木県,イベント,37.0,2810.0
群馬県,自然,46.0,2913.0
群馬県,歴史・文化,78.0,2871.0
群馬県,温泉・健康,71.0,3713.0
群馬県,スポーツ・レク,94.0,2642.0
群馬県,都市型観光,25.0,1465.0
群馬県,イベント,59.0,4335.0
埼玉県,自然,41.0,2247.0
埼玉県,歴史・文化,142.0,4021.0
埼玉県,温泉・健康,30.0,1259.0
埼玉県,スポーツ・レク,160.0,4623.0
埼玉県,都市型観光,41.0,14222.0
埼玉県,イベント,122.0,12004.0
千葉県,自然,34.0,578.0
千葉県,歴史・文化,139.0,4734.0
千葉県,温泉・健康,25.0,1279.0
千葉県,スポーツ・レク,296.0,18898.0
千葉県,都市型観光,24.0,5994.0
千葉県,イベント,85.0,11021.0
東京都,自然,6.0,687.0
東京都,歴史・文化,326.0,16237.0
東京都,温泉・健康,35.0,6457.0
東京都,スポーツ・レク,167.0,30124.0
東京都,都市型観光,86.0,200255.0
東京都,イベント,121.0,14119.0
神奈川県,自然,62.0,8833.0
神奈川県,歴史・文化,111.0,7634.0
神奈川県,温泉・健康,8.0,295.0
神奈川県,スポーツ・レク,81.0,10845.0
神奈川県,都市型観光,7.0,1060.0
神奈川県,イベント,83.0,9014.0
新潟県,自然,76.0,1532.0
新潟県,歴史・文化,155.0,3035.0
新潟県,温泉・健康,106.0,2523.0
新潟県,スポーツ・レク,252.0,4312.0
新潟県,都市型観光,62.0,5139.0
新潟県,イベント,144.0,7406.0
富山県,自然,24.0,1142.0
富山県,歴史・文化,71.0,1616.0
富山県,温泉・健康,19.0,699.0
富山県,スポーツ・レク,48.0,1907.0
富山県,都市型観光,5.0,241.0
富山県,イベント,45.0,1898.0
石川県,自然,28.0,712.0
石川県,歴史・文化,100.0,3218.0
石川県,温泉・健康,26.0,1538.0
石川県,スポーツ・レク,74.0,1759.0
石川県,都市型観光,16.0,5227.0
石川県,イベント,34.0,284.0
山梨県,自然,17.0,2652.0
山梨県,歴史・文化,92.0,3353.0
山梨県,温泉・健康,59.0,1800.0
山梨県,スポーツ・レク,89.0,3092.0
山梨県,都市型観光,31.0,1431.0
山梨県,イベント,29.0,1489.0
長野県,自然,62.0,4512.0
長野県,歴史・文化,71.0,4848.0
長野県,温泉・健康,78.0,3889.0
長野県,スポーツ・レク,97.0,2410.0
長野県,都市型観光,15.0,4341.0
長野県,イベント,54.0,3366.0
岐阜県,自然,37.0,1091.0
岐阜県,歴史・文化,93.0,3835.0
