都道府県,目的,1_地点数,2_地点数,3_地点数,4_地点数,1_客数,2_客数,3_客数,4_客数
28 兵庫県,歴史・文化,291,294,294,292,12271,7579,7192,7491
28 兵庫県,温泉・健康,73,74,74,74,2130,1717,2108,2124
28 兵庫県,スポーツ・レク,352,362,362,352,6707,8879,9794,8175
28 兵庫県,都市型観光,43,44,44,44,4488,3088,3233,9605
28 兵庫県,その他,95,99,99,98,2997,3191,3495,3313
28 兵庫県,イベント,45,70,77,117,5166,5559,5069,8278
29 奈良県,自然,25,25,25,25,441,998,789,844
29 奈良県,歴史・文化,94,94,94,94,6832,8107,5034,6403
29 奈良県,温泉・健康,27,27,27,27,380,421,537,392
29 奈良県,スポーツ・レク,22,22,22,22,256,556,492,305
29 奈良県,都市型観光,5,5,5,5,88,108,85,189
29 奈良県,その他,32,32,32,32,783,1054,1021,1048
29 奈良県,イベント,15,14,21,20,3399,936,1487,1086
30 和歌山県,自然,19,19,20,20,141,206,241,155
30 和歌山県,歴史・文化,39,40,40,41,2974,1653,1688,1956
30 和歌山県,温泉・健康,12,12,12,12,197,216,244,212
30 和歌山県,スポーツ・レク,31,32,32,33,879,1416,2745,1515
30 和歌山県,都市型観光,6,6,6,6,197,225,257,234
30 和歌山県,その他,13,10,10,10,339,383,379,417
30 和歌山県,イベント,8,7,17,17,109,125,957,449
31 鳥取県,自然,10,10,10,10,266,403,538,343
31 鳥取県,歴史・文化,36,36,36,36,615,872,952,781
31 鳥取県,温泉・健康,19,19,19,19,564,498,612,549
31 鳥取県,スポーツ・レク,27,27,27,27,240,259,385,157
31 鳥取県,都市型観光,17,17,17,17,1155,1563,1842,1453
31 鳥取県,その他,22,22,22,22,1139,1499,1831,1481
31 鳥取県,イベント,5,9,18,5,142,145,796,181
32 島根県,自然,18,18,18,18,344,705,734,486
32 島根県,歴史・文化,74,74,74,75,4035,3701,3844,3440
32 島根県,温泉・健康,24,24,24,24,589,615,638,635
32 島根県,スポーツ・レク,37,37,37,38,370,341,652,335
32 島根県,都市型観光,10,10,10,10,401,461,465,491
32 島根県,その他,19,19,19,20,578,782,831,768
32 島根県,イベント,5,9,13,12,343,491,968,365
33 岡山県,自然,17,17,17,17,73,143,205,120
33 岡山県,歴史・文化,107,107,107,107,1285,1660,1480,1435
33 岡山県,温泉・健康,29,29,29,29,571,539,673,518
33 岡山県,スポーツ・レク,63,63,63,63,1192,1697,1717,1336
33 岡山県,都市型観光,45,45,45,45,957,1256,1431,1361
33 岡山県,その他,28,28,28,28,915,1192,1291,1144
33 岡山県,イベント,20,27,40,46,869,1304,2549,2684
34 広島県,自然,23,23,23,23,276,493,657,665
34 広島県,歴史・文化,89,89,89,90,3071,3435,3777,3610
34 広島県,温泉・健康,30,30,30,30,688,629,642,651
34 広島県,スポーツ・レク,94,95,95,95,1909,2260,2703,2430
34 広島県,都市型観光,17,17,18,18,851,1054,1335,1110
34 広島県,その他,29,28,30,30,1270,1649,1894,1818
34 広島県,イベント,20,27,42,37,1865,5390,4324,3871
35 山口県,自然,34,34,34,34,589,737,1070,838
35 山口県,歴史・文化,77,77,77,77,2035,1817,1763,1862
35 山口県,温泉・健康,32,32,32,32,837,802,919,858
35 山口県,スポーツ・レク,65,65,65,65,1202,1689,2042,1439
35 山口県,都市型観光,5,5,5,5,464,473,551,541
35 山口県,その他,42,42,42,42,1917,2291,2491,2177
35 山口県,イベント,15,39,29,38,680,1171,2047,1285
36 徳島県,自然,16,16,16,16,245,483,577,361
36 徳島県,歴史・文化,50,50,50,50,1519,1120,1309,1174
36 徳島県,温泉・健康,20,20,20,20,316,298,303,295
36 徳島県,スポーツ・レク,34,34,34,34,544,779,865,723
36 徳島県,都市型観光,21,21,21,21,841,1020,1042,1010
36 徳島県,その他,6,6,6,6,168,217,215,201
36 徳島県,イベント,11,20,23,17,484,734,2227,1069
37 香川県,自然,9,9,9,9,266,368,379,428
37 香川県,歴史・文化,59,59,59,59,2942,2613,1867,2030
37 香川県,温泉・健康,18,18,18,18,502,461,548,496
37 香川県,スポーツ・レク,50,50,50,50,1226,2122,2137,1647
37 香川県,都市型観光,12,12,12,12,745,838,1022,960
37 香川県,その他,8,8,8,8,1029,1210,1351,1083
37 香川県,イベント,4,7,19,8,188,418,1221,140
38 愛媛県,自然,44,44,44,44,255,666,683,478
38 愛媛県,歴史・文化,64,64,64,64,1246,1656,1496,1416
38 愛媛県,温泉・健康,26,26,26,26,823,743,809,754
38 愛媛県,スポーツ・レク,37,37,37,37,457,808,1071,688
38 愛媛県,都市型観光,29,29,29,29,245,284,339,294
38 愛媛県,その他,28,28,28,28,1746,2072,2150,2082
38 愛媛県,イベント,7,15,38,21,58,470,1877,643
39 高知県,自然,15,15,15,15,183,254,331,218
39 高知県,歴史・文化,27,27,27,27,441,525,596,462
39 高知県,温泉・健康,13,13,13,13,132,154,181,158
39 高知県,スポーツ・レク,28,28,28,28,326,366,401,338
39 高知県,都市型観光,23,23,23,23,1711,1858,1872,1803
39 高知県,その他,18,18,18,18,618,752,822,686
39 高知県,イベント,6,9,22,10,79,333,1546,254
40 福岡県,自然,36,36,36,36,494,788,771,669
40 福岡県,歴史・文化,135,135,135,135,11266,6506,6227,6138
40 福岡県,温泉・健康,31,31,31,31,1219,974,1038,1091
40 福岡県,スポーツ・レク,89,89,89,89,1985,2723,3678,2510
40 福岡県,都市型観光,72,72,72,72,28997,28877,31667,30224
40 福岡県,その他,44,44,44,44,3089,3273,3773,3317
40 福岡県,イベント,35,40,45,59,2153,2659,4477,2351
41 佐賀県,自然,10,10,14,14,88,190,224,144
