都道府県,県内_宿泊,県内_日帰り,県外_宿泊,県外_日帰り,消費額
長野県,373,1157,1670,4432,139199
岐阜県,173,4066,576,6209,54717
静岡県,637,6986,2303,4973,92073
愛知県,609,13548,589,5727,117727
三重県,212,1834,802,6961,71944
滋賀県,142,607,487,2598,25575
京都府,275,4067,1752,11078,213762
兵庫県,447,3965,1042,9442,119168
奈良県,89,1479,379,4330,39274
和歌山県,112,363,518,1772,23064
鳥取県,63,504,314,919,11978
島根県,121,564,290,1809,21922
岡山県,170,1965,363,1056,24935
広島県,218,2193,495,782,26583
山口県,261,2406,283,1101,24393
香川県,67,987,293,1802,22502
愛媛県,81,2214,357,830,24235
高知県,67,339,252,673,16304
福岡県,339,19029,609,4290,292432
佐賀県,62,958,242,2594,49209
熊本県,182,4077,365,1478,37831
大分県,144,2024,757,1119,29468
宮崎県,100,1865,119,784,17689
鹿児島県,174,2067,384,315,28333
北海道,1660,14510,1251,99,211225
青森県,143,1939,450,1133,35184
岩手県,246,822,520,663,29926
宮城県,439,4034,681,1648,60968
秋田県,116,2124,345,833,21567
山形県,219,2954,565,2554,41530
福島県,357,1150,702,1267,40040
茨城県,171,4019,447,3525,43243
栃木県,461,3577,2062,5443,160649
群馬県,346,2920,1392,2170,50239
埼玉県,146,17771,246,9314,134403
千葉県,608,8852,2844,8397,249066
東京都,1078,60396,2577,51162,947091
神奈川県,801,9510,1737,12225,206537
新潟県,350,5374,1452,2345,83373
富山県,264,1117,405,2361,43588
山梨県,194,2085,1993,3931,128469
長野県,629,3163,3272,4616,244592
岐阜県,241,4004,757,6887,71688
静岡県,784,7536,2976,6358,173097
愛知県,934,13941,742,8497,178505
三重県,301,1800,1274,7838,96910
滋賀県,182,764,513,2583,29743
京都府,605,1925,1462,5776,149977
兵庫県,594,6909,1405,8259,198085
奈良県,123,1142,370,3081,27891
和歌山県,130,688,732,1653,30381
鳥取県,88,430,445,1188,17666
島根県,160,653,463,1055,21616
岡山県,321,1384,419,1437,25530
広島県,575,2447,609,692,29027
山口県,127,2383,360,1688,32448
香川県,86,1262,417,1279,24490
愛媛県,97,2298,400,893,26462
