都道府県,県内_宿泊,県内_日帰り,県外_宿泊,県外_日帰り,消費額単価
新潟県,356,4974,587,1840,55057
富山県,125,1620,265,1033,42998
山梨県,121,1712,1154,3987,62422
長野県,373,1157,1670,4432,81671
岐阜県,173,4066,576,6209,46073
静岡県,637,6986,2303,4973,33817
愛知県,609,13548,589,5727,60013
三重県,212,1834,802,6961,61789
滋賀県,142,607,487,2598,33471
京都府,275,4067,1752,11078,57312
兵庫県,447,3965,1042,9442,67683
奈良県,89,1479,379,4330,64695
和歌山県,112,363,518,1772,46268
鳥取県,63,504,314,919,36819
島根県,121,564,290,1809,57893
岡山県,170,1965,363,1056,53146
広島県,218,2193,495,782,47162
山口県,261,2406,283,1101,47947
香川県,67,987,293,1802,48912
愛媛県,81,2214,357,830,47551
高知県,67,339,252,673,60473
福岡県,339,19029,609,4290,112275
佐賀県,62,958,242,2594,70057
熊本県,182,4077,365,1478,54012
大分県,144,2024,757,1119,44054
宮崎県,100,1865,119,784,51033
鹿児島県,174,2067,384,315,72125
北海道,1660,14510,1251,99,143402
青森県,143,1939,450,1133,58581
岩手県,246,822,520,663,62286
宮城県,439,4034,681,1648,59717
秋田県,116,2124,345,833,45129
山形県,219,2954,565,2554,57657
福島県,357,1150,702,1267,59733
茨城県,171,4019,447,3525,42525
栃木県,461,3577,2062,5443,68250
群馬県,346,2920,1392,2170,40485
埼玉県,146,17771,246,9314,40525
千葉県,608,8852,2844,8397,72365
東京都,1078,60396,2577,51162,88368
神奈川県,801,9510,1737,12225,60309
新潟県,350,5374,1452,2345,58163
富山県,264,1117,405,2361,63330
山梨県,194,2085,1993,3931,65669
長野県,629,3163,3272,4616,103042
岐阜県,241,4004,757,6887,63009
静岡県,784,7536,2976,6358,54304
愛知県,934,13941,742,8497,58416
三重県,301,1800,1274,7838,58293
滋賀県,182,764,513,2583,36067
京都府,605,1925,1462,5776,74457
兵庫県,594,6909,1405,8259,88043
奈良県,123,1142,370,3081,51566
和歌山県,130,688,732,1653,50475
鳥取県,88,430,445,1188,47639
島根県,160,653,463,1055,50630
岡山県,321,1384,419,1437,42636
広島県,575,2447,609,692,38276
山口県,127,2383,360,1688,58312
香川県,86,1262,417,1279,54541
愛媛県,97,2298,400,893,47848
高知県,109,457,367,620,57769
福岡県,427,14473,693,6999,101279
佐賀県,80,622,228,2791,92258
熊本県,401,4470,620,1606,53409
大分県,232,1566,826,1588,51473
宮崎県,125,2069,227,969,51456
鹿児島県,278,2071,696,663,62199
北海道,1639,4493,860,43,119390
青森県,127,1579,313,794,60838
岩手県,249,795,423,414,55085
宮城県,410,3548,539,1211,62423
秋田県,96,1587,215,825,49351
山形県,252,1218,443,1662,63817
福島県,378,1451,702,1267,60796
茨城県,174,4631,342,5406,39294
栃木県,413,3967,1606,6399,56321
群馬県,360,2722,1097,2532,44951
埼玉県,117,17820,211,8710,38113
千葉県,564,8978,2663,8689,62214
東京都,1118,59528,2214,50123,91247
神奈川県,785,7254,1591,6424,44417
新潟県,439,3556,711,2065,60279
富山県,143,1744,245,2048,52767
山梨県,145,1215,1170,3758,52900
長野県,447,2076,1903,3439,71313
岐阜県,194,3741,673,6641,60560
静岡県,691,9237,2362,4131,44626
愛知県,684,12309,664,7698,55602
三重県,310,2970,1100,5985,73532
滋賀県,146,671,417,2320,42978
京都府,292,1868,1824,5066,69668
兵庫県,506,6131,1156,9802,88172
奈良県,69,1735,373,3206,55739
和歌山県,130,729,565,1868,53576
鳥取県,83,468,320,769,55740
島根県,99,383,327,1257,51522
岡山県,126,1247,344,1688,47167
広島県,219,1873,548,861,65924
山口県,109,2283,294,1207,57483
香川県,73,952,335,2484,62252
愛媛県,79,2020,363,752,47973
高知県,67,561,225,480,58838
福岡県,339,12645,697,4496,84726
佐賀県,61,715,274,3002,55743
熊本県,232,4692,574,2355,37177
大分県,197,1372,789,1629,46612
宮崎県,102,1871,181,1072,44527
鹿児島県,214,2160,529,379,61082
北海道,1399,5663,789,31,129564
青森県,104,1617,165,590,58524
岩手県,251,1190,277,289,54455
宮城県,383,4403,473,991,49511
秋田県,89,2065,132,281,47464
山形県,234,1918,341,1110,57195
福島県,387,1634,606,1739,49399
茨城県,154,2871,357,4329,42932
栃木県,311,4746,1094,6913,66066
群馬県,315,2398,976,2181,44615
埼玉県,82,15162,176,9564,41917
千葉県,510,12276,2703,19294,66876
東京都,849,62507,2126,56095,83744
神奈川県,623,11554,1395,20714,54189
新潟県,345,4707,969,702,57927
富山県,115,957,189,515,53176
山梨県,138,1304,845,2555,62395
長野県,454,2193,1866,3564,70622
岐阜県,144,3729,661,5923,54052
愛知県,428,24619,614,8031,40322
三重県,163,3434,840,7661,52808
滋賀県,108,547,334,2347,49524
京都府,259,5559,1205,8587,57358
兵庫県,521,15250,1102,11191,75917
奈良県,46,1797,223,3277,47078
和歌山県,87,614,570,989,52798
鳥取県,55,491,262,633,54003
島根県,54,1006,209,1317,56982
岡山県,96,982,347,1123,41343
広島県,199,1397,395,1068,76037
山口県,90,2507,218,979,52157
徳島県,26,704,163,1520,49993
香川県,48,1228,254,1747,43130
愛媛県,92,1821,341,699,47399
福岡県,480,15050,655,6605,75037
佐賀県,44,659,252,2657,60937
熊本県,165,3732,490,1699,71765
大分県,140,1890,676,1303,46054
宮崎県,86,1622,207,995,51365
鹿児島県,182,2410,489,668,59757
北海道,1341,10584,823,21,119621
青森県,128,1551,336,711,58868
岩手県,184,948,397,676,59599
宮城県,345,4292,590,1359,59763
秋田県,95,2564,230,1041,39453
山形県,193,1234,404,3045,73348
福島県,343,1410,654,1555,63658
茨城県,144,4630,319,4118,40394
栃木県,336,3669,1289,8136,54335
群馬県,268,3720,1029,2105,66475
埼玉県,91,17646,185,10714,41165
千葉県,456,10582,2504,15960,54904
東京都,782,61177,2084,55551,95875
神奈川県,613,7133,1468,9420,61291
新潟県,298,4258,644,1908,58688
富山県,92,1363,258,2290,60397
福井県,122,741,310,2086,54992
山梨県,125,1857,1124,5526,55049
長野県,370,1837,1536,4417,80305
岐阜県,135,3831,575,7099,65776
愛知県,457,19772,630,5824,42334
三重県,156,2605,821,7097,53672
京都府,264,2904,1662,8731,80108
兵庫県,427,5613,1082,12370,67097
奈良県,98,1659,380,4169,56023
和歌山県,106,351,610,1724,45644
鳥取県,76,597,257,1180,39246
島根県,81,799,274,1074,50237
岡山県,134,1584,351,920,47587
広島県,299,2964,484,1074,55151
山口県,208,2652,360,1007,56477
徳島県,38,904,220,1609,47088
香川県,59,1032,266,1598,43860
愛媛県,99,2181,375,814,47975
福岡県,389,19226,731,3400,86893
佐賀県,59,576,213,3433,62738
熊本県,196,4506,564,2406,60837
大分県,164,1839,667,959,42567
宮崎県,97,2097,174,1106,51749
北海道,1805,14862,1294,101,144120
青森県,146,2202,469,979,53721
岩手県,256,1082,544,762,59583
宮城県,382,3788,656,1395,70039
秋田県,106,1756,446,840,44149
山形県,234,2319,570,2867,56036
福島県,390,1510,894,3542,64924
茨城県,171,3702,289,2943,37856
栃木県,366,3050,1860,6946,62817
群馬県,340,2905,1306,2508,57748
埼玉県,132,17231,232,11251,41976
千葉県,673,12715,3038,17347,68067
