都道府県,目的,地点数,客数
三重県,イベント,29,1955
滋賀県,自然,24,464
滋賀県,歴史・文化,114,2399
滋賀県,温泉・健康,22,411
滋賀県,スポーツ・レク,111,2962
滋賀県,都市型観光,29,1275
滋賀県,イベント,38,1448
京都府,自然,18,257
京都府,歴史・文化,83,13444
京都府,温泉・健康,18,550
京都府,スポーツ・レク,73,2375
京都府,都市型観光,7,344
京都府,イベント,13,331
兵庫県,自然,89,1281
兵庫県,歴史・文化,293,7236
兵庫県,温泉・健康,74,2144
兵庫県,スポーツ・レク,362,10325
兵庫県,都市型観光,43,10127
兵庫県,イベント,79,4875
奈良県,自然,25,912
奈良県,歴史・文化,92,3996
奈良県,温泉・健康,24,454
奈良県,スポーツ・レク,19,344
奈良県,都市型観光,5,151
奈良県,イベント,19,1453
和歌山県,自然,14,170
和歌山県,歴史・文化,32,1064
和歌山県,温泉・健康,13,195
和歌山県,スポーツ・レク,46,2739
和歌山県,都市型観光,2,48
和歌山県,イベント,17,704
鳥取県,自然,11,532
鳥取県,歴史・文化,39,923
鳥取県,温泉・健康,19,564
鳥取県,スポーツ・レク,35,385
鳥取県,都市型観光,16,1910
鳥取県,イベント,16,718
島根県,自然,17,764
島根県,歴史・文化,69,3918
島根県,温泉・健康,24,665
島根県,スポーツ・レク,36,677
島根県,都市型観光,14,556
島根県,イベント,10,749
岡山県,自然,20,255
岡山県,歴史・文化,109,1296
岡山県,温泉・健康,33,760
岡山県,スポーツ・レク,80,1821
岡山県,都市型観光,37,1232
岡山県,イベント,38,1994
広島県,自然,22,549
広島県,歴史・文化,77,3240
広島県,温泉・健康,28,632
広島県,スポーツ・レク,83,2324
広島県,都市型観光,16,1089
広島県,イベント,41,3862
山口県,自然,28,885
山口県,歴史・文化,71,1915
山口県,温泉・健康,31,982
山口県,スポーツ・レク,58,1653
山口県,都市型観光,4,551
山口県,イベント,31,1990
徳島県,自然,20,510
徳島県,歴史・文化,50,1145
徳島県,温泉・健康,24,299
徳島県,スポーツ・レク,47,694
徳島県,都市型観光,30,1124
徳島県,イベント,21,1955
香川県,自然,9,370
香川県,歴史・文化,60,1763
香川県,温泉・健康,18,540
香川県,スポーツ・レク,51,2072
香川県,都市型観光,11,969
香川県,イベント,19,1114
愛媛県,自然,44,697
愛媛県,歴史・文化,64,1484
愛媛県,温泉・健康,26,834
愛媛県,スポーツ・レク,37,936
愛媛県,都市型観光,29,356
愛媛県,イベント,41,1317
高知県,自然,17,282
高知県,歴史・文化,28,534
高知県,温泉・健康,14,160
高知県,スポーツ・レク,25,373
高知県,都市型観光,22,1401
高知県,イベント,17,1303
福岡県,自然,36,934
福岡県,歴史・文化,130,6047
福岡県,温泉・健康,35,1026
福岡県,スポーツ・レク,83,3072
福岡県,都市型観光,66,25381
福岡県,イベント,41,3819
佐賀県,自然,13,135
佐賀県,歴史・文化,31,783
佐賀県,温泉・健康,18,551
佐賀県,スポーツ・レク,35,433
佐賀県,都市型観光,29,2426
佐賀県,イベント,28,1133
長崎県,自然,16,264
長崎県,歴史・文化,62,1850
長崎県,温泉・健康,23,632
長崎県,スポーツ・レク,65,1813
長崎県,都市型観光,12,3163
長崎県,イベント,44,1415
熊本県,自然,25,893
熊本県,歴史・文化,87,1978
熊本県,温泉・健康,42,2325
熊本県,スポーツ・レク,102,1640
熊本県,都市型観光,54,2781
熊本県,イベント,36,1721
大分県,自然,47,1634
大分県,歴史・文化,104,2542
大分県,温泉・健康,46,2398
大分県,スポーツ・レク,82,2206
大分県,都市型観光,11,223
大分県,イベント,42,1137
宮崎県,自然,18,416
